Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1756678287,100,,Aggregated,17.700000,0.000000,6300,6700,6800,6900,7100,7200,7400,7500,7600,7600,7600,407,0,6300.0,4610.131852545123,3.2255029946099967,7581.710338999983,653.0786240786241
1756678288,100,,Aggregated,16.500000,0.000000,6400,6700,6800,6900,7100,7200,7400,7500,7600,7600,7600,421,0,6400.0,4687.026352322762,3.2255029946099967,7581.710338999983,682.833729216152
1756678289,100,,Aggregated,14.700000,0.000000,6400,6700,6900,6900,7100,7200,7400,7500,7600,7600,7600,438,0,6400.0,4771.523567346794,3.2255029946099967,7581.710338999983,707.689497716895
1756678290,100,,Aggregated,13.900000,0.000000,6500,6800,6900,7000,7100,7200,7400,7500,7600,7600,7600,457,0,6500.0,4857.415889699986,3.2255029946099967,7581.710338999983,729.0306345733042
1756678291,100,,Aggregated,13.800000,0.000000,6500,6800,6900,7000,7100,7200,7400,7500,7600,7600,7600,476,0,6500.0,4935.037184697264,3.2255029946099967,7581.710338999983,742.2016806722689
1756678292,100,,Aggregated,14.000000,0.000000,6500,6800,6900,7000,7100,7200,7400,7500,7600,7600,7600,491,0,6500.0,4992.144270095545,3.2255029946099967,7581.710338999983,745.5702647657841
1756678293,100,,Aggregated,15.200000,0.000000,6600,6800,6900,7000,7100,7200,7400,7500,7600,7600,7600,503,0,6600.0,5030.532093244393,3.2255029946099967,7581.710338999983,759.3141153081511
1756678294,100,,Aggregated,15.900000,0.000000,6600,6800,6900,7000,7100,7200,7400,7500,7600,7600,7600,512,0,6600.0,5056.195787632672,3.2255029946099967,7581.710338999983,770.8359375
1756678295,100,,Aggregated,15.700000,0.000000,6600,6800,6900,6900,7100,7200,7400,7500,7600,7600,7600,525,0,6600.0,5097.483518929302,3.2255029946099967,7581.710338999983,775.0380952380953
1756678296,100,,Aggregated,14.800000,0.000000,6600,6800,6900,6900,7100,7200,7400,7500,7600,7600,7600,541,0,6600.0,5148.512417578283,3.2255029946099967,7581.710338999983,781.5878003696857
1756678297,100,,Aggregated,13.700000,0.000000,6600,6800,6900,7000,7100,7200,7400,7500,7600,7600,7600,559,0,6600.0,5200.807657777866,3.2255029946099967,7581.710338999983,790.4991055456172
1756678298,100,,Aggregated,13.800000,0.000000,6600,6800,6900,7000,7100,7200,7400,7500,7600,7600,7600,573,0,6600.0,5239.087884078223,3.2255029946099967,7581.710338999983,779.6561954624782
1756678299,100,,Aggregated,14.100000,0.000000,6600,6800,6900,7000,7100,7200,7400,7500,7600,7600,7600,592,0,6600.0,5288.4197449456615,3.2255029946099967,7581.710338999983,775.7668918918919
1756678300,100,,Aggregated,14.900000,0.000000,6600,6800,6900,6900,7100,7200,7400,7500,7600,7600,7600,607,0,6600.0,5322.232361465953,3.2255029946099967,7581.710338999983,767.3294892915981
1756678301,100,,Aggregated,14.900000,0.000000,6600,6800,6900,6900,7100,7200,7400,7500,7600,7600,7600,617,0,6600.0,5340.144480714474,3.2255029946099967,7581.710338999983,764.3257698541329
1756678302,100,,Aggregated,15.500000,0.000000,6600,6800,6900,6900,7100,7200,7400,7500,7600,7600,7600,628,0,6600.0,5360.681127940865,3.2255029946099967,7581.710338999983,760.8566878980891
1756678303,100,,Aggregated,14.800000,0.000000,6600,6800,6900,6900,7100,7200,7400,7500,7600,7600,7600,644,0,6600.0,5389.090810302602,3.2255029946099967,7581.710338999983,760.5
1756678304,100,,Aggregated,13.600000,0.000000,6600,6800,6900,6900,7100,7200,7400,7500,7600,7600,7600,661,0,6600.0,5417.895907724422,3.2255029946099967,7581.710338999983,748.3797276853253
1756678305,100,,Aggregated,13.600000,0.000000,6600,6800,6900,6900,7100,7200,7400,7500,7600,7600,7600,671,0,6600.0,5433.105706500514,3.2255029946099967,7581.710338999983,741.9985096870342
1756678306,100,,Aggregated,14.200000,0.000000,6600,6800,6800,6900,7100,7200,7400,7500,7600,7600,7600,689,0,6600.0,5457.342929377145,3.2255029946099967,7581.710338999983,726.7532656023222
1756678307,100,,Aggregated,14.900000,0.000000,6600,6800,6800,6900,7100,7200,7300,7400,7600,7600,7600,702,0,6600.0,5476.337494163615,3.2255029946099967,7581.710338999983,718.6011396011396
1756678308,100,,Aggregated,14.500000,0.000000,6600,6800,6800,6900,7100,7200,7300,7400,7600,7600,7600,717,0,6600.0,5498.270668052798,3.2255029946099967,7581.710338999983,713.9177126917713
1756678309,100,,Aggregated,14.800000,0.000000,6600,6800,6800,6900,7100,7200,7300,7400,7600,7600,7600,726,0,6600.0,5510.6004448689155,3.2255029946099967,7581.710338999983,709.6473829201102
1756678310,100,,Aggregated,14.400000,0.000000,6600,6700,6800,6900,7100,7200,7300,7400,7600,7600,7600,738,0,6600.0,5525.414930503816,3.2255029946099967,7581.710338999983,700.4769647696477
1756678311,100,,Aggregated,14.300000,0.000000,6600,6700,6800,6900,7100,7200,7300,7400,7600,7600,7600,759,0,6600.0,5552.9512892382045,3.2255029946099967,7581.710338999983,694.3939393939394
1756678312,100,,Aggregated,13.200000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,773,0,6600.0,5570.648489976446,3.2255029946099967,7581.710338999983,689.3622250970246
1756678313,100,,Aggregated,12.700000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,784,0,6600.0,5584.243418299443,3.2255029946099967,7581.710338999983,679.984693877551
1756678314,100,,Aggregated,14.200000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,799,0,6600.0,5601.654350815717,3.2255029946099967,7581.710338999983,670.0613266583229
1756678315,100,,Aggregated,14.200000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,812,0,6600.0,5618.624314435655,3.2255029946099967,7581.710338999983,666.9679802955665
1756678316,100,,Aggregated,14.100000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,823,0,6600.0,5633.128778999689,3.2255029946099967,7581.710338999983,661.4277035236938
1756678317,100,,Aggregated,13.400000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,837,0,6600.0,5649.017840906517,3.2255029946099967,7581.710338999983,653.6714456391876
1756678318,100,,Aggregated,13.900000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,847,0,6600.0,5659.075354028034,3.2255029946099967,7581.710338999983,647.9681227863045
1756678319,100,,Aggregated,13.600000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,862,0,6600.0,5677.796443942863,3.2255029946099967,7581.710338999983,640.6960556844548
1756678320,100,,Aggregated,13.300000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,880,0,6600.0,5698.802404238366,3.2255029946099967,7581.710338999983,633.1363636363636
1756678321,100,,Aggregated,12.900000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,891,0,6600.0,5710.9812748335935,3.2255029946099967,7581.710338999983,632.3916947250281
1756678322,100,,Aggregated,13.800000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,904,0,6600.0,5724.856667309415,3.2255029946099967,7581.710338999983,630.887168141593
1756678323,100,,Aggregated,14.400000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,920,0,6600.0,5742.526091811635,3.2255029946099967,7581.710338999983,624.6739130434783
1756678324,100,,Aggregated,13.500000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,929,0,6600.0,5753.126061404411,3.2255029946099967,7581.710338999983,619.8783638320775
1756678325,100,,Aggregated,13.200000,0.000000,6600,6700,6800,6900,7000,7200,7300,7400,7600,7600,7600,943,0,6600.0,5769.380198149148,3.2255029946099967,7581.710338999983,616.9363732767763
1756678326,100,,Aggregated,13.300000,0.000000,6600,6800,6800,6900,7000,7200,7300,7400,7600,7600,7600,954,0,6600.0,5782.710233672549,3.2255029946099967,7581.710338999983,611.7085953878407
1756678327,100,,Aggregated,13.000000,0.000000,6600,6800,6800,6900,7000,7200,7300,7400,7600,7600,7600,967,0,6600.0,5797.4439143605305,3.2255029946099967,7581.710338999983,608.0217166494313
1756678328,100,,Aggregated,13.000000,0.000000,6600,6800,6800,6900,7100,7200,7300,7400,7700,7700,7700,980,0,6600.0,5812.6563335874,3.2255029946099967,7670.661344003747,606.9571428571429
1756678329,100,,Aggregated,12.800000,0.000000,6600,6800,6900,6900,7100,7200,7300,7500,7700,7700,7700,1000,0,6600.0,5836.339298807665,3.2255029946099967,7670.661344003747,598.374
